Emoji,CÃ³digo,CategorÃ­a,DescripciÃ³n,EmociÃ³n,Valor,Tono,Valor
ğŸ˜€,1F600,Cara positiva,Cara sonriente,Alegria,5,Positivo,5
â¤ï¸,2764 FE0F,Emociones,CorazÃ³n rojo,Alegria,4,Positivo,4
ğŸ˜,1F60D,Caras positivas,Cara sonriente con ojos de corazÃ³n,Alegria,4,Positivo,4
ğŸ˜‚,1F602,Caras positivas,Cara con lÃ¡grimas de alegrÃ­a,Alegria,5,Positivo,5
ğŸ˜˜,1F618,Caras positivas,Cara lanzando beso,Alegria,3,Positivo,4
ğŸ˜’,1F612,Caras neutral,DesaprobaciÃ³n,Asco,3,Neutral,4
ğŸ˜Š,1F60A,Caras positivas,Cara sonriente con ojos sonrientes,Alegria,5,Positivo,5
ğŸ˜,1F60E,Caras positivas,Cara sonriente con lentes de sol,Alegria,4,Positivo,4
ğŸ’•,1F495,Emociones,Dos corazones,Alegria,4,Positivo,4
ğŸ˜,1F60F,Caras neutral,Cara complice ,Alegria,3,Positivo,4
ğŸ˜‰,1F609,Caras positivas,Cara con guiÃ±o,Alegria,3,Positivo,4
ğŸ˜­,1F62D,Cara negativa,Cara llorando fuerte,Tristeza,5,Negativo,5
ğŸ™ˆ,1F648,Animal mamifero,Mono tapandose los ojos,Miedo,3,Neutral,3
â˜º,263A,Caras positivas,Relajado,Alegria,3,Positivo,3
ğŸ’‹,1F48B,Emociones,Marca de beso,Alegria,3,Positivo,4
ğŸ‘,1F44D,Cuerpo,Pulgar arriba,Alegria,3,Positivo,5
ğŸ’¯,1F4AF,AlfanumÃ©rico,Cien puntos,Alegria,4,Positivo,5
ğŸ‘Œ,1F44C,Cuerpo,Mano OK,Alegria,4,Positivo,5
ğŸ˜ ,1F620,Cara negativa,Enojado,Ira,5,Negativo,5
ğŸ˜¬,1F62C,Cara negativa,Sonrisa incÃ³moda,Miedo,2,Neutral,2
ğŸ˜±,1F631,Cara negativa,Grito,Miedo,5,Neutral,3
ğŸ˜ª,1F62A,Cara neutral,Dormitando,Tristeza,3,Neutral,3
ğŸ’”,1F494,Emociones,CorazÃ³n roto,Tristeza,5,Negativo,4
ğŸ˜©,1F629,Cara negativa,Cara cansada,Tristeza,3,Neutral,3
âœ‹,270B,Cuerpo,Mano alzada ,Ira,3,Positivo,3
ğŸ˜Œ,1F60C,Cara neutral,Cara aliviada ,Alegria,2,Negativo,2
ğŸ˜‹,1F60B,Cara positiva,Cara saboreando comida,Alegria,5,Positivo,5
ğŸ˜,1F61E,Cara negativa,Cara desepcionada ,Tristeza,3,Negativo,3
ğŸ˜,1F601,Cara positiva,Cara sonriente  ,Alegria,5,Positivo,5
ğŸ˜•,1F615,Cara neutral,Cara confundida ,Ira,2,Neutral,3
ğŸ™,1F64F,Cuerpo,Manos dobladas,Miedo,3,Neutral,2
ğŸ˜œ,1F61C,Cara neutral,GuiÃ±o con lengua,Alegria,2,Positivo,3
âœŒï¸,270C FE0F,Cuerpo,Mano de victoria,Alegria,3,Positivo,3
ğŸŒ¸,1F338,Plantas,Flor de cerezo,Alegria,2,Positivo,2
ğŸ’™,1F499,Emociones,CorazÃ³n azul,Alegria,4,Positivo,5
ğŸ¶,1F436,Animales,Cara de perro,Alegria,1,Positivo,1
ğŸ‘‘,1F451,Ropa,Corona,Alegria,1,Positivo,1
ğŸ‘Š,1F44A,Cuerpo,PuÃ±o,Ira,4,Positivo,2
ğŸ˜,1F61D,Cara positiva,Entrecerrando la cara con la lengua,Alegria,4,Positivo,3
ğŸ“·,1F4F7,Luz y video,CÃ¡mara fotogrÃ¡fica,Alegria,1,Neutral,1
ğŸŒ¹,1F339,Plantas,Rosa,Alegria,2,Positivo,1
ğŸ˜·,1F637,Cara enferma,Cara con mascarilla,Tristeza,3,Neutral,2
ğŸ˜”,1F614,Cara neutral,Cara pensativa,Tristeza,3,Negativo,3
ğŸŒ,1F31E,Cielo y clima,Sol con cara,Alegria,2,Positivo,2
ğŸ˜£,1F623,Cara neutral,Cara perseverante,Miedo,3,Negativo,4
ğŸ˜‡,1F607,Cara con rol,Sonrisa con aureola,Alegria,3,Positivo,3
ğŸ˜³,1F633,Cara negativa,Cara enrojezida,Alegria,2,Neutral,5
ğŸ˜ ,1F60F,Cara positiva,Cara Sonriente,Alegria,4,Positivo,4
ğŸ¶,1F3B6,MÃºsica,Notas musicales,Alegria,1,Positivo,2
ğŸ˜™,1F619,Cara positiva,Cara besando con ojos cerrados,Alegria,3,Positivo,4
ğŸ»,1F37B,Bebidas,Choque de cervezas,Alegria,3,Neutral,3
ğŸ˜ˆ,1F608,Cara fantasÃ­a,Sonrisa con cuernos,Alegria,2,Negativo,3
ğŸ”¥,1F525,Cielo y clima,Fuego,Ira,1,Neutral,1
ğŸ‘,1F44D,Cuerpo,Pulgar abajo,Asco,3,Negativo,4
ğŸ™Œ,1F64C,Cuerpo,Manos levantadas,Alegria,3,Positivo,2
ğŸ˜¶,1F636,Cara neutral,Cara sin boca,Miedo,3,Neutral,4
ğŸ˜¯,1F62E,Cara neutral,Cara sorprendida,Miedo,2,Neutral,3
ğŸ‘€,1F440,Cuerpo,Ojos,Miedo,1,Neutral,4
ğŸ˜»,1F63B,Cara gato,Gato con ojos de corazÃ³n ,Alegria,3,Positivo,3
ğŸ˜¤,1F624,Cara negativa,Cara con vapo de la nariz,Ira,4,Negativo,3
ğŸ’©,1F4A9,Cara fantasÃ­a,Pila de popo,Asco,2,Positivo,2
ğŸ˜¢,1F622,Cara negativa,Cara Llorosa,Tristeza,4,Negativo,4
ğŸ’,1F48E,Ropa,Gema,Alegria,1,Neutral,2
ğŸŒš,1F31B,Cielo y Clima,Cara luna nueva,Alegria,1,Neutral,2
ğŸ‰,1F389,Eventos,Lanzaconfeti,Alegria,2,Neutral,2
ğŸ‚,1F382,Comida dulce,Pastel de cumpleaÃ±os,Alegria,2,Neutral,2
ğŸ’€,1F480,Cara fantasÃ­a,Calaca ,Miedo,4,Negativo,5
ğŸ˜¡,1F621,Cara negativa,Cara de Puchero,Ira,5,Negativo,5
ğŸ’…,1F485,Cuerpo,Esmalte de uÃ±as,Alegria,1,Neutral,2
ğŸ˜…,1F605,Cara positiva,Cara con sudor frio,Miedo,3,Neutral,4
ğŸ°,1F430,Animales,Cara de conejo,Alegria,3,Neutral,2
ğŸ’,1F481,Gestos de personas,Mujer con mano inclinada,Asco,3,Negativo,3
ğŸ•,1F355,Comida preparada,Pizza,Alegria,3,Neutral,3
Â©ï¸,00A9 FE0F,Otro simbolo ,Copyright,Miedo,1,Neutral,1
ğŸ·,1F377,Bebidas,Copa de vino,Alegria,2,Positivo,4
ğŸ’š,1F49A,Emociones,CorazÃ³n verde,Alegria,4,Positivo,4
âœŠ,270A,Cuerpo,PuÃ±o alzado,Ira,4,Negativo,4
ğŸš¶,1F6B6,Actividades,Persona caminando,Ira,1,Neutral,1
ğŸ’—,1F497,Cuerpo,Corazon creciendo,Alegria,4,Positivo,4
ğŸ‘…,1F444,Cuerpo,Lengua,Asco,3,Neutral,2
ğŸ’˜,1F498,Cuerpo,Corazon con flecha,Alegria,4,Positivo,4
ğŸ¦,1F366,Comida dulce,Copa de helado suave,Alegria,2,Positivo,3
ğŸ‘‹,1F44B,Cuerpo,Mano saludando,Alegria,4,Positivo,4
ğŸ‘,1F44F,Cuerpo,Aplaudiendo,Alegria,3,Positivo,2
ğŸŒ´,1F334,Plantas,Palmera,Alegria,2,Neutral,3
ğŸ”«,1F52B,Herramienta,Pistola,Ira,4,Negativo,4
âœ¨,2728,Eventos,Chispas,Alegria,2,Positivo,1
âœ”,2714,Otro simbolo,Marca bien ,Alegria,4,Positivo,2
ğŸ˜‘,1F611,Cara neutral,Cara sin expresiÃ³n,Asco,2,Negativo,5
ğŸ’,1F490,Plantas,Ramo de flores,Alegria,2,Positivo,2
ğŸŒŠ,1F30A,Cielo y clima,Ola,Alegria,2,Neutral,2
ğŸ‘¿,1F47F,Cara fantasÃ­a,Cara enojada con cuernos,Ira,4,Negativo,3
ğŸ´,1F374,Vajilla,Cubiertos,Alegria,1,Neutral,1
ğŸ’ƒ,1F483,Actividades,Mujer bailando,Alegria,3,Neutral,2
ğŸ˜,1F610,Cara neutral,Cara neutral,Asco,2,Neutral,4
ğŸ’Ÿ,1F49F,Emociones,CorazÃ³n en cuadro,Alegria,4,Positivo,3
ğŸ’,1F49E,Cuerpo,Corazones giratorios,Alegria,4,Positivo,4
ğŸ˜´,1F634,Cara neutral,Cara durmiendo,Alegria,2,Neutral,3
ğŸ‡ºğŸ‡¸,1F1FA 1F1F8,Bandera,Estados Unidos,Alegria,1,Neutral,1
ğŸ“,1F353,Frutas,Fresa,Alegria,1,Neutral,2